Model,PR-AUC,ROC-AUC
Logistic Regression,0.7439486441557351,0.9572835078037968
Random Forest,0.8607506769591988,0.952793291979144
XGBoost,0.7813171412660339,0.9219230021074272
Baseline LR,0.7439486441557351,
Weighted LR,0.7189463752156903,
SMOTE LR,0.7248611768135256,
Baseline RF,0.8607506769591988,
Weighted RF,0.8501966632467751,
SMOTE RF,0.8677902925456846,
